Census Tract FIPS,demand_covered,percentage,county_name,state_name
01031010800,1,85.35739419,Coffee,AL
01031010400,1,100,Coffee,AL
01031010500,1,100,Coffee,AL
01031010300,1,100,Coffee,AL
01031011100,1,100,Coffee,AL
01031010900,1,100,Coffee,AL
01031011000,1,100,Coffee,AL
01031011300,1,100,Coffee,AL
01031011201,0,0,Coffee,AL
01031011202,1,100,Coffee,AL
01033020400,0,1.90E-13,Colbert,AL
01033020300,1,100,Colbert,AL
01033020200,1,100,Colbert,AL
01033020100,1,100,Colbert,AL
01033020600,1,100,Colbert,AL
01033020901,1,100,Colbert,AL
01033020802,1,100,Colbert,AL
01033020801,1,100,Colbert,AL
01033020902,1,100,Colbert,AL
01033021000,1,100,Colbert,AL
01033020704,1,100,Colbert,AL
01033020703,1,100,Colbert,AL
01033020701,1,8.513233232,Colbert,AL
01033020500,1,100,Colbert,AL
01035960300,1,100,Conecuh,AL
01035960500,1,100,Conecuh,AL
01035960200,1,100,Conecuh,AL
01035960600,1,100,Conecuh,AL
01035960400,1,100,Conecuh,AL
01037961100,1,100,Coosa,AL
01037961000,1,100,Coosa,AL
01037961200,1,100,Coosa,AL
01039962900,0,6.68E-13,Covington,AL
01039962500,1,100,Covington,AL
01039962700,1,100,Covington,AL
01039962100,1,100,Covington,AL
01039962600,1,100,Covington,AL
01039962800,1,100,Covington,AL
01039961900,1,100,Covington,AL
01039962400,1,100,Covington,AL
01039961800,1,100,Covington,AL
01039962000,1,100,Covington,AL
01039962300,1,43.50935425,Covington,AL
01039961600,1,100,Covington,AL
01039961700,1,100,Covington,AL
01039963000,1,100,Covington,AL
01041963800,1,100,Crenshaw,AL
01041963900,1,100,Crenshaw,AL
01041963400,1,100,Crenshaw,AL
01041963600,1,100,Crenshaw,AL
01041963500,1,100,Crenshaw,AL
01041963700,1,100,Crenshaw,AL
01043965200,1,100,Cullman,AL
01043965600,0,0,Cullman,AL
01043965401,1,100,Cullman,AL
01043964800,1,100,Cullman,AL
01043964600,1,100,Cullman,AL
01043964500,1,100,Cullman,AL
01043965300,1,100,Cullman,AL
01043965700,1,100,Cullman,AL
01043964300,1,100,Cullman,AL
01043964700,1,100,Cullman,AL
01043965402,1,100,Cullman,AL
01043965000,1,100,Cullman,AL
01043964400,1,100,Cullman,AL
01043965100,1,100,Cullman,AL
01043964900,1,100,Cullman,AL
01043964200,1,100,Cullman,AL
01043964100,1,100,Cullman,AL
01043965500,1,17.49763525,Cullman,AL
01045020200,1,100,Dale,AL
01045020500,1,100,Dale,AL
01045020400,1,100,Dale,AL
01045020300,1,100,Dale,AL
01045021300,1,100,Dale,AL
01045021200,1,100,Dale,AL
01045021102,1,100,Dale,AL
01045021400,1,100,Dale,AL
01045020801,1,100,Dale,AL
01045020100,1,100,Dale,AL
01045020000,1,100,Dale,AL
01045021101,1,100,Dale,AL
01045020802,1,100,Dale,AL
01045020700,1,100,Dale,AL
01047957100,1,100,Dallas,AL
01047957200,1,100,Dallas,AL
01047956702,1,100,Dallas,AL
01047956701,1,100,Dallas,AL
01047956202,1,100,Dallas,AL
01047957000,1,100,Dallas,AL
01047956201,1,100,Dallas,AL
01047956900,1,100,Dallas,AL
01047956300,1,100,Dallas,AL
01047956600,1,100,Dallas,AL
01047956500,1,100,Dallas,AL
01047956800,1,100,Dallas,AL
01047957300,1,100,Dallas,AL
01047956400,1,100,Dallas,AL
01047956100,1,100,Dallas,AL
01049961200,1,100,DeKalb,AL
01049960900,1,100,DeKalb,AL
01049960200,1,100,DeKalb,AL
01049961000,1,100,DeKalb,AL
01049961400,1,100,DeKalb,AL
01049961300,1,100,DeKalb,AL
01049960300,1,100,DeKalb,AL
01049961100,1,100,DeKalb,AL
01049960500,1,100,DeKalb,AL
01049960800,1,100,DeKalb,AL
01049960400,1,100,DeKalb,AL
01049960100,1,100,DeKalb,AL
01049960600,1,100,DeKalb,AL
01049960700,1,100,DeKalb,AL
01051031200,1,100,Elmore,AL
01051030702,0,0,Elmore,AL
01051030300,1,100,Elmore,AL
01051030902,1,100,Elmore,AL
01051030500,1,100,Elmore,AL
01051031100,1,14.35167924,Elmore,AL
01051030901,0,0,Elmore,AL
01051030701,0,0,Elmore,AL
01051030800,1,100,Elmore,AL
01051030200,1,100,Elmore,AL
01051031300,1,100,Elmore,AL
01051030600,1,100,Elmore,AL
01051030100,1,100,Elmore,AL
01051031000,1,100,Elmore,AL
01051030400,1,100,Elmore,AL
01053970200,1,100,Escambia,AL
01053970300,1,100,Escambia,AL
01053970100,1,100,Escambia,AL
01053969900,1,100,Escambia,AL
01053970700,1,100,Escambia,AL
01053970400,1,100,Escambia,AL
01053969800,1,100,Escambia,AL
01053970600,1,100,Escambia,AL
01053970500,1,100,Escambia,AL
01055010501,0,1.89E-13,Etowah,AL
01055000700,1,100,Etowah,AL
01055010900,1,100,Etowah,AL
01055000800,1,100,Etowah,AL
01055000600,1,100,Etowah,AL
01055010300,1,100,Etowah,AL
01055010800,1,100,Etowah,AL
01055001700,1,100,Etowah,AL
01055000500,1,100,Etowah,AL
01055010700,1,100,Etowah,AL
01055010200,1,100,Etowah,AL
01055010100,1,100,Etowah,AL
01055010602,1,37.4252701,Etowah,AL
01055000900,1,100,Etowah,AL
01055001000,1,100,Etowah,AL
01055010502,0,0,Etowah,AL
01055000400,0,0,Etowah,AL
01055010402,1,100,Etowah,AL
01055010401,1,100,Etowah,AL
01055011001,1,100,Etowah,AL
01055000200,1,100,Etowah,AL
01055011200,1,100,Etowah,AL
01055011002,1,100,Etowah,AL
01055000300,1,100,Etowah,AL
01055001600,1,100,Etowah,AL
01055001300,1,100,Etowah,AL
01055001100,0,0,Etowah,AL
01055001200,1,100,Etowah,AL
01055010601,1,100,Etowah,AL
01055011100,1,100,Etowah,AL
01057020000,1,100,Fayette,AL
01057020400,1,100,Fayette,AL
01057020100,1,100,Fayette,AL
01057020300,1,100,Fayette,AL
01057020200,1,100,Fayette,AL
01059973600,1,100,Franklin,AL
01059973100,1,100,Franklin,AL
01059973500,1,100,Franklin,AL
01059973400,1,100,Franklin,AL
01059973700,1,100,Franklin,AL
01059972900,1,100,Franklin,AL
01059973300,1,100,Franklin,AL
01059973000,1,100,Franklin,AL
01059973200,1,100,Franklin,AL
01061050200,1,100,Geneva,AL
01061050300,1,100,Geneva,AL
01061050600,1,100,Geneva,AL
01061050100,1,100,Geneva,AL
01061050500,1,100,Geneva,AL
01061050400,1,100,Geneva,AL
01063060100,1,100,Greene,AL
01063060000,1,100,Greene,AL
01063060200,1,100,Greene,AL
01065040100,1,100,Hale,AL
01065040500,1,100,Hale,AL
01065040200,1,100,Hale,AL
01065040000,1,100,Hale,AL
01065040300,1,100,Hale,AL
01065040400,1,100,Hale,AL
01067030200,1,100,Henry,AL
01067030400,1,100,Henry,AL
01067030100,1,100,Henry,AL
01067030600,1,100,Henry,AL
01067030300,1,100,Henry,AL
01067030500,1,100,Henry,AL
01069040400,1,100,Houston,AL
01069041700,1,100,Houston,AL
01069040500,1,100,Houston,AL
01069041100,1,100,Houston,AL
01069040900,1,100,Houston,AL
01069041200,1,100,Houston,AL
01069040600,1,100,Houston,AL
01069040302,1,100,Houston,AL
01069040700,1,100,Houston,AL
01069041000,1,100,Houston,AL
01069041800,1,100,Houston,AL
01069040301,1,100,Houston,AL
01069041500,1,100,Houston,AL
01069042000,1,100,Houston,AL
01069040201,1,100,Houston,AL
01069041400,1,100,Houston,AL
01069041900,1,100,Houston,AL
01069041600,1,100,Houston,AL
01069040800,1,100,Houston,AL
01069040202,1,24.86175115,Houston,AL
01069040100,1,100,Houston,AL
01069042100,1,100,Houston,AL
01071950400,1,100,Jackson,AL
01071950500,1,100,Jackson,AL
01071950800,1,100,Jackson,AL
01071950200,1,100,Jackson,AL
01071951000,1,100,Jackson,AL
01071950900,1,100,Jackson,AL
01071950100,1,100,Jackson,AL
01071950700,1,100,Jackson,AL
01071950300,1,100,Jackson,AL
01071951100,1,100,Jackson,AL
01071950600,1,100,Jackson,AL
01073010701,0,6.85E-11,Jefferson,AL
01073004901,1,100,Jefferson,AL
01073010804,0,0,Jefferson,AL
01073004800,0,0,Jefferson,AL
01073001902,1,100,Jefferson,AL
01073003200,1,100,Jefferson,AL
01073003900,1,100,Jefferson,AL
01073010500,1,100,Jefferson,AL
01073012914,0,0,Jefferson,AL
01073011904,1,100,Jefferson,AL
01073010100,1,100,Jefferson,AL
01073013002,1,100,Jefferson,AL
01073013901,1,100,Jefferson,AL
01073012704,0,0,Jefferson,AL
01073005907,0,0,Jefferson,AL
01073010802,0,0,Jefferson,AL
01073012802,0,0,Jefferson,AL
01073003300,1,100,Jefferson,AL
01073010703,0,0,Jefferson,AL
01073004702,0,0,Jefferson,AL
01073014409,0,0,Jefferson,AL
01073013801,1,100,Jefferson,AL
01073014001,0,0,Jefferson,AL
01073013601,1,100,Jefferson,AL
01073011205,0,0,Jefferson,AL
01073013902,1,100,Jefferson,AL
01073002200,1,100,Jefferson,AL
01073013200,1,100,Jefferson,AL
01073014412,0,0,Jefferson,AL
01073012304,1,100,Jefferson,AL
01073005500,1,100,Jefferson,AL
01073004200,1,100,Jefferson,AL
01073012905,0,0,Jefferson,AL
01073001400,1,100,Jefferson,AL
01073011600,1,100,Jefferson,AL
01073001200,1,100,Jefferson,AL
01073003400,1,100,Jefferson,AL
01073005909,1,100,Jefferson,AL
01073010900,1,100,Jefferson,AL
01073012910,0,0,Jefferson,AL
01073012602,1,100,Jefferson,AL
01073011706,1,100,Jefferson,AL
01073010705,0,0,Jefferson,AL
01073000300,1,100,Jefferson,AL
01073011301,1,100,Jefferson,AL
01073002306,0,0,Jefferson,AL
01073000700,1,100,Jefferson,AL
01073005101,1,100,Jefferson,AL
01073002305,0,0,Jefferson,AL
01073012302,1,100,Jefferson,AL
01073014405,1,100,Jefferson,AL
01073011108,0,0,Jefferson,AL
01073005103,1,100,Jefferson,AL
01073005701,1,100,Jefferson,AL
01073011002,1,100,Jefferson,AL
01073011109,0,0,Jefferson,AL
01073014406,0,0,Jefferson,AL
01073005702,1,100,Jefferson,AL
01073002900,1,100,Jefferson,AL
01073014002,1,100,Jefferson,AL
01073011901,1,100,Jefferson,AL
01073003002,1,100,Jefferson,AL
01073014301,1,100,Jefferson,AL
01073004000,1,100,Jefferson,AL
01073011208,0,0,Jefferson,AL
01073012401,1,100,Jefferson,AL
01073011302,0,0,Jefferson,AL
01073010002,1,100,Jefferson,AL
01073010402,1,100,Jefferson,AL
01073012403,1,100,Jefferson,AL
01073013300,1,100,Jefferson,AL
01073012103,1,100,Jefferson,AL
01073012104,1,100,Jefferson,AL
01073005000,1,100,Jefferson,AL
01073001500,1,100,Jefferson,AL
01073003500,1,100,Jefferson,AL
01073010603,1,100,Jefferson,AL
01073002400,1,100,Jefferson,AL
01073002700,1,100,Jefferson,AL
01073000800,1,100,Jefferson,AL
01073005104,1,100,Jefferson,AL
01073010805,0,0,Jefferson,AL
01073010704,1,100,Jefferson,AL
01073012500,1,100,Jefferson,AL
01073010801,0,0,Jefferson,AL
01073014410,0,0,Jefferson,AL
01073004902,1,100,Jefferson,AL
01073013400,1,100,Jefferson,AL
01073014102,1,100,Jefferson,AL
01073011704,0,0,Jefferson,AL
01073014104,1,100,Jefferson,AL
01073012305,0,0,Jefferson,AL
01073012001,1,100,Jefferson,AL
01073011500,0,0,Jefferson,AL
01073005910,1,100,Jefferson,AL
01073011001,1,100,Jefferson,AL
01073012911,0,0,Jefferson,AL
01073014105,1,100,Jefferson,AL
01073012915,1,100,Jefferson,AL
01073011209,1,100,Jefferson,AL
01073011206,0,0,Jefferson,AL
01073005200,1,100,Jefferson,AL
01073000100,1,100,Jefferson,AL
01073010301,1,100,Jefferson,AL
01073011207,1,100,Jefferson,AL
01073012803,0,0,Jefferson,AL
01073011210,1,100,Jefferson,AL
01073000400,1,100,Jefferson,AL
01073004701,0,0,Jefferson,AL
01073010401,1,100,Jefferson,AL
01073005302,0,0,Jefferson,AL
01073010702,0,0,Jefferson,AL
01073005600,1,100,Jefferson,AL
01073002303,1,100,Jefferson,AL
01073012200,1,100,Jefferson,AL
01073011705,1,100,Jefferson,AL
01073003700,1,100,Jefferson,AL
01073012402,1,100,Jefferson,AL
01073012907,1,100,Jefferson,AL
01073005800,1,100,Jefferson,AL
01073014408,1,100,Jefferson,AL
01073010302,1,100,Jefferson,AL
01073010602,1,100,Jefferson,AL
01073003803,1,100,Jefferson,AL
01073000500,1,100,Jefferson,AL
01073003600,1,100,Jefferson,AL
01073010706,1,100,Jefferson,AL
01073011110,0,0,Jefferson,AL
01073011803,1,100,Jefferson,AL
01073010001,1,100,Jefferson,AL
01073003001,1,100,Jefferson,AL
01073010200,1,100,Jefferson,AL
01073014413,0,0,Jefferson,AL
01073010803,1,70.56647691,Jefferson,AL
01073004500,1,100,Jefferson,AL
01073011400,1,100,Jefferson,AL
01073012701,1,100,Jefferson,AL
01073014404,0,0,Jefferson,AL
01073013100,1,100,Jefferson,AL
01073011804,1,100,Jefferson,AL
01073002100,1,100,Jefferson,AL
01073012912,1,100,Jefferson,AL
01073011104,1,100,Jefferson,AL
01073001600,1,100,Jefferson,AL
01073005908,1,100,Jefferson,AL
01073003100,1,100,Jefferson,AL
01073012913,1,100,Jefferson,AL
01073012002,1,100,Jefferson,AL
01073012906,0,0,Jefferson,AL
01073005903,1,100,Jefferson,AL
01073005905,1,100,Jefferson,AL
01073012703,0,0,Jefferson,AL
01073014302,0,0,Jefferson,AL
01073011703,1,100,Jefferson,AL
01073001100,1,100,Jefferson,AL
01073014204,0,0,Jefferson,AL
01073002000,1,100,Jefferson,AL
01073011802,1,100,Jefferson,AL
01073011107,1,100,Jefferson,AL
01073003802,1,100,Jefferson,AL
01073011111,1,100,Jefferson,AL
01073012908,1,100,Jefferson,AL
01073014203,0,0,Jefferson,AL
01075030200,1,100,Lamar,AL
01075030000,1,100,Lamar,AL
01075030100,1,100,Lamar,AL
01077010100,1,100,Lauderdale,AL
01077010200,1,100,Lauderdale,AL
01077010300,1,100,Lauderdale,AL
01077010400,1,100,Lauderdale,AL
01077011300,1,100,Lauderdale,AL
01077010700,1,100,Lauderdale,AL
01077010600,1,100,Lauderdale,AL
01077011801,1,100,Lauderdale,AL
01077011200,1,50.22644503,Lauderdale,AL
01077010800,1,100,Lauderdale,AL
01077011700,1,100,Lauderdale,AL
01077011603,1,100,Lauderdale,AL
01077011102,0,0,Lauderdale,AL
01077011802,1,100,Lauderdale,AL
01077011000,1,100,Lauderdale,AL
01077011501,1,100,Lauderdale,AL
01077011502,1,100,Lauderdale,AL
01077011604,1,100,Lauderdale,AL
01077011101,1,100,Lauderdale,AL
01077011400,0,0,Lauderdale,AL
01077011602,1,100,Lauderdale,AL
01077010900,1,100,Lauderdale,AL
01079979700,1,100,Lawrence,AL
01079979100,1,100,Lawrence,AL
01079979900,1,100,Lawrence,AL
01079979800,1,100,Lawrence,AL
01079979600,1,14.84134319,Lawrence,AL
01079979400,1,100,Lawrence,AL
01079979200,1,100,Lawrence,AL
01079979300,1,100,Lawrence,AL
01079979500,1,100,Lawrence,AL
01081040603,1,100,Lee,AL
01081042101,1,100,Lee,AL
01081041300,1,100,Lee,AL
01081042006,1,100,Lee,AL
01081040300,1,100,Lee,AL
01081041200,1,100,Lee,AL
01081041600,1,100,Lee,AL
01081040800,1,100,Lee,AL
01081042003,1,100,Lee,AL
01081041400,1,100,Lee,AL
01081042005,1,100,Lee,AL
01081040901,0,1.10E-12,Lee,AL
01081040700,1,100,Lee,AL
01081040400,1,100,Lee,AL
01081040602,1,100,Lee,AL
01081040200,1,35.77481932,Lee,AL
01081042002,1,100,Lee,AL
01081040902,1,100,Lee,AL
01081040604,0,0,Lee,AL
01081040500,1,100,Lee,AL
01081041100,1,100,Lee,AL
01081041700,1,100,Lee,AL
01081042102,1,100,Lee,AL
01081041000,1,100,Lee,AL
01081041900,1,100,Lee,AL
01081041800,1,100,Lee,AL
01081042004,1,100,Lee,AL
01083020700,1,100,Limestone,AL
01083021000,1,100,Limestone,AL
01083020900,1,100,Limestone,AL
01083020101,1,100,Limestone,AL
01083020300,0,0,Limestone,AL
01083020500,1,100,Limestone,AL
01083020202,1,100,Limestone,AL
01083020600,1,100,Limestone,AL
01083020102,0,0,Limestone,AL
01083020201,1,100,Limestone,AL
01083020802,0,0,Limestone,AL
01083020801,1,100,Limestone,AL
01083021100,1,100,Limestone,AL
01083020401,1,100,Limestone,AL
01083020402,1,100,Limestone,AL
01083021200,1,23.9118384,Limestone,AL
01085781100,1,100,Lowndes,AL
01085781000,1,100,Lowndes,AL
01085780800,1,100,Lowndes,AL
01085781200,1,100,Lowndes,AL
01087231800,1,100,Macon,AL
01087231601,1,100,Macon,AL
01087231602,1,100,Macon,AL
01087232100,1,100,Macon,AL
01087231400,1,100,Macon,AL
01087232300,1,100,Macon,AL
01087231603,1,100,Macon,AL
01087231500,1,100,Macon,AL
01087231900,1,100,Macon,AL
01087231700,1,100,Macon,AL
01087232000,1,100,Macon,AL
01087232200,1,100,Macon,AL
01089001902,0,5.64E-13,Madison,AL
01089001700,0,0,Madison,AL
01089000201,1,100,Madison,AL
01089002912,0,0,Madison,AL
01089001903,0,0,Madison,AL
01089000601,1,100,Madison,AL
01089000902,0,0,Madison,AL
01089002701,0,0,Madison,AL
01089001401,0,0,Madison,AL
01089000503,1,100,Madison,AL
01089002200,1,100,Madison,AL
01089001302,1,100,Madison,AL
01089002911,0,0,Madison,AL
01089002000,0,0,Madison,AL
01089001000,1,73.24703344,Madison,AL
01089000501,1,100,Madison,AL
01089002722,0,0,Madison,AL
01089002922,0,0,Madison,AL
01089010902,1,100,Madison,AL
01089000602,1,100,Madison,AL
01089000502,1,100,Madison,AL
01089011100,0,0,Madison,AL
01089001200,1,100,Madison,AL
01089001801,0,0,Madison,AL
01089011400,1,100,Madison,AL
01089000702,1,100,Madison,AL
01089003100,1,100,Madison,AL
01089001901,0,0,Madison,AL
01089002721,0,0,Madison,AL
01089002501,1,100,Madison,AL
01089003000,1,100,Madison,AL
01089010200,0,0,Madison,AL
01089010502,0,0,Madison,AL
01089010302,1,100,Madison,AL
01089011013,0,0,Madison,AL
01089001301,1,100,Madison,AL
01089010612,0,0,Madison,AL
01089001500,1,100,Madison,AL
01089000701,1,100,Madison,AL
01089002600,1,100,Madison,AL
01089001402,1,100,Madison,AL
01089002502,1,100,Madison,AL
01089000202,1,100,Madison,AL
01089000301,1,100,Madison,AL
01089002400,1,100,Madison,AL
01089002802,0,0,Madison,AL
01089010621,0,0,Madison,AL
01089000901,0,0,Madison,AL
01089002100,1,100,Madison,AL
01089000302,1,100,Madison,AL
01089000403,1,100,Madison,AL
01089010402,1,100,Madison,AL
01089010401,1,100,Madison,AL
01089002801,1,100,Madison,AL
01089011014,0,0,Madison,AL
01089011012,0,0,Madison,AL
01089011300,1,100,Madison,AL
01089002300,1,100,Madison,AL
01089010901,0,0,Madison,AL
01089002921,1,100,Madison,AL
01089010702,1,100,Madison,AL
01089010623,0,0,Madison,AL
01089011011,0,0,Madison,AL
01089011021,1,100,Madison,AL
01089010701,1,100,Madison,AL
01089010100,1,100,Madison,AL
01089010800,0,0,Madison,AL
01089010301,1,100,Madison,AL
01089010624,0,0,Madison,AL
01089011022,1,100,Madison,AL
01089010501,0,0,Madison,AL
01089011200,0,0,Madison,AL
01089010622,1,100,Madison,AL
01091973300,1,100,Marengo,AL
01091973100,1,100,Marengo,AL
01091972900,1,100,Marengo,AL
01091973200,1,100,Marengo,AL
01091973000,1,100,Marengo,AL
01091973400,1,100,Marengo,AL
01093964200,1,100,Marion,AL
01093964100,1,100,Marion,AL
01093964500,1,100,Marion,AL
01093964700,1,100,Marion,AL
01093964600,1,100,Marion,AL
01093964000,1,100,Marion,AL
01093964400,1,100,Marion,AL
01093964300,1,100,Marion,AL
01095030402,1,100,Marshall,AL
01095030401,1,100,Marshall,AL
01095030702,1,100,Marshall,AL
01095030902,1,100,Marshall,AL
01095030600,1,100,Marshall,AL
01095030500,1,100,Marshall,AL
01095031000,1,100,Marshall,AL
01095030801,1,100,Marshall,AL
01095030701,1,100,Marshall,AL
01095030904,1,100,Marshall,AL
01095030201,1,100,Marshall,AL
01095031100,1,100,Marshall,AL
01095031200,1,100,Marshall,AL
01095030903,1,100,Marshall,AL
01095030100,1,100,Marshall,AL
01095030202,1,100,Marshall,AL
01095030300,1,100,Marshall,AL
01095030802,1,100,Marshall,AL
01097990000,0,0,Mobile,AL
01097000402,1,100,Mobile,AL
01097002000,0,1.00E-11,Mobile,AL
01097000401,1,100,Mobile,AL
01097004100,1,100,Mobile,AL
01097004800,1,100,Mobile,AL
01097005200,1,100,Mobile,AL
01097006403,1,100,Mobile,AL
01097000902,0,0,Mobile,AL
01097001501,1,100,Mobile,AL
01097005100,1,100,Mobile,AL
01097001002,1,100,Mobile,AL
01097000200,1,100,Mobile,AL
01097000500,1,100,Mobile,AL
01097003800,1,100,Mobile,AL
01097000901,1,100,Mobile,AL
01097001502,1,100,Mobile,AL
01097003608,1,100,Mobile,AL
01097005300,1,100,Mobile,AL
01097001400,1,100,Mobile,AL
01097003602,1,100,Mobile,AL
01097005000,1,100,Mobile,AL
01097007700,1,100,Mobile,AL
01097003502,0,0,Mobile,AL
01097002302,1,100,Mobile,AL
01097001100,1,100,Mobile,AL
01097003405,1,100,Mobile,AL
01097000903,1,100,Mobile,AL
01097007103,1,95.55261676,Mobile,AL
01097000600,1,100,Mobile,AL
01097002502,0,0,Mobile,AL
01097003902,1,100,Mobile,AL
01097007500,1,100,Mobile,AL
01097003408,1,100,Mobile,AL
01097005500,1,100,Mobile,AL
01097003606,0,0,Mobile,AL
01097003901,1,100,Mobile,AL
01097001001,1,100,Mobile,AL
01097003706,0,0,Mobile,AL
01097003404,1,100,Mobile,AL
01097000702,1,100,Mobile,AL
01097003501,0,0,Mobile,AL
01097003605,0,0,Mobile,AL
01097007202,1,100,Mobile,AL
01097001901,1,100,Mobile,AL
01097003301,1,100,Mobile,AL
01097003704,0,0,Mobile,AL
01097003100,1,100,Mobile,AL
01097003705,1,100,Mobile,AL
01097007400,1,100,Mobile,AL
01097002301,1,100,Mobile,AL
01097002700,1,100,Mobile,AL
01097007600,1,100,Mobile,AL
